"공공체육시설별","자치구별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"축구장","서대문구","면적","㎡","22280","22280","22280","7583","7583","9128","9128","9128","9128","9128","8094","8094","8094","8094",
"축구장","마포구","개소","개소","4","4","4","4","4","4","4","4","5","5","4","4","4","6",
"축구장","마포구","면적","㎡","233622","233622","233622","241836","241836","241836","233622","233622","237222","237222","75662.84","245621","245621","273463",
"축구장","양천구","개소","개소","2","2","2","2","2","3","3","3","3","3","3","3","3","3",
"축구장","양천구","면적","㎡","73240","73240","73240","73240","73240","111480","111480","111480","111480","111480","111480","111480","111480","111480",
"축구장","강서구","개소","개소","2","3","2","2","4","5","5","5","5","5","5","4","4","4",
"축구장","강서구","면적","㎡","16520","16520","16520","16520","32604","45634","45634","38193","38193","38193","41673","41673","41673","41673",
"축구장","구로구","개소","개소","5","5","4","4","4","4","6","6","6","6","6","6","6","6",
"축구장","구로구","면적","㎡","48350","48350","48350","53350","53350","53350","63250","63250","63250","63250","34094","29594","34094","34094",
"축구장","금천구","개소","개소","1","1","1","1","1","1","1","2","3","3","3","1","1","1",
"축구장","금천구","면적","㎡","5098","5098","5098","5098","5098","5098","5098","18128","22118","22118","17020","4500","4500","4500",
"축구장","영등포구","개소","개소","8","8","8","8","8","8","8","8","8","8","6","6","6","6",
"축구장","영등포구","면적","㎡","61640","61640","61640","61640","61640","61640","61640","61640","61640","61687","45066","46533","46533","46533",
"축구장","동작구","개소","개소","1","1","1","1","1","1","1","1","1","1","3","3","3","3",
"축구장","동작구","면적","㎡","7140","7140","7140","7140","7140","7140","7140","7140","7140","7140","18547","18757","18757","18757",
"축구장","관악구","개소","개소","2","2","2","2","2","2","2","2","2","2","2","2","2","2",
"축구장","관악구","면적","㎡","17250","17250","17250","17250","17250","17250","29334","29334","29334","29334","8720","8720","8720","8720",
"축구장","서초구","개소","개소","5","5","5","5","5","5","5","5","5","5","5","5","5","5",
"축구장","서초구","면적","㎡","129976","129976","129976","129976","129976","129976","129976","129976","129976","129976","103309","105999","105999","105999",
"축구장","강남구","개소","개소","1","1","1","1","1","1","1","2","2","2","2","2","3","3",
"축구장","강남구","면적","㎡","9240","9240","9240","7776","7776","7776","7776","17576","17576","17576","17576","17576","27236","27236",
"축구장","송파구","개소","개소","3","3","3","3","3","3","3","3","3","3","3","3","3","5",
"축구장","송파구","면적","㎡","27080","27080","27080","27080","27080","27080","27080","27080","27080","27080","17156","17156","17156","29756",
"축구장","강동구","개소","개소","2","2","2","2","2","2","2","3","3","2","2","2","2","2",
"축구장","강동구","면적","㎡","20712","20712","20712","20712","20712","20712","20712","29682","29682","21140","21140","21140","21140","21140",
"축구장","기타(서울외)","개소","개소","1","1","2","2","1","","1","1","","","1","1","1","1",
"축구장","기타(서울외)","면적","㎡","13030","13030","","","13030","","13030","3600","","","6400","6400","6400","6400",
"하키장","합계","개소","개소","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"하키장","합계","면적","㎡","8250","104401","8960","8960","309317","309317","309317","309317","309317","309317","183879","183879","183879","183879",
"하키장","종로구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","종로구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","중구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","중구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","용산구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","용산구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","성동구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","성동구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","광진구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","광진구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","동대문구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","동대문구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","중랑구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","중랑구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","성북구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","성북구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","강북구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","강북구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","도봉구","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","도봉구","면적","㎡","","","","","","","","","","","0","-","-","-",
"하키장","노원구","개소","개소","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"하키장","노원구","면적","㎡","8250","104401","8960","8960","309317","309317","309317","309317","309317","309317","183879","183879","183879","183879",
"하키장","은평구","개소","개소","","","","","","","","","","","0","-","-","-",
